case_id,mesh_id,diagonal,resolution,field_id,field_kind,energy_j,reference_energy_j,energy_relative_error,normalized_energy_error,curvature_relative_l2_error,float32_displacement_energy_j,float32_energy_relative_difference,float32_max_displacement_error_m,normal_force_norm_n,operator_sha256
forward_32_sine,forward_32,forward,32,sine,general,4.8532382255613856e-05,4.8704545517001214e-05,0.003534849972622391,0.0008608163069367887,0.058790897754953705,4.8532382603086266e-05,7.159599305138891e-09,4.749745128457272e-11,0.04385991735288369,25c208f1ee600b1c657f8a79df4ec7f9fb4b48ad3d9a4da773a69acc88710003
backward_4_cylinder_000,backward_4,backward,4,cylinder_000,quadratic,0.00020000000000000015,0.0002,6.776263578034403e-16,6.776263578034403e-16,2.889817549991876e-15,0.00019999993517997523,3.2410012458625334e-07,2.2351741811588166e-10,0.14134956306827356,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_4_cylinder_015,backward_4,backward,4,cylinder_015,quadratic,0.0002000000000000001,0.0002,4.0657581468206416e-16,4.0657581468206416e-16,3.5591964599956405e-15,0.0001999999808391701,9.58041499322763e-08,4.624100633648931e-10,0.13706959538713112,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_4_cylinder_030,backward_4,backward,4,cylinder_030,quadratic,0.00020000000000000015,0.00019999999999999998,8.131516293641284e-16,8.131516293641283e-16,4.6912314221181744e-15,0.00020000002152680186,1.0763400858527359e-07,7.386334287262653e-10,0.13025074864524352,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_4_cylinder_045,backward_4,backward,4,cylinder_045,quadratic,0.00020000000000000004,0.0002,1.3552527156068805e-16,1.3552527156068805e-16,4.0679664283421745e-15,0.00019999999225259885,3.873700595317594e-08,4.470348362317633e-10,0.12687473735772545,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_4_cylinder_060,backward_4,backward,4,cylinder_060,quadratic,0.00020000000000000012,0.00020000000000000004,4.0657581468206406e-16,4.0657581468206416e-16,4.557818812318424e-15,0.00020000002152680197,1.0763400926289996e-07,7.386334252568183e-10,0.13025074864524336,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_4_cylinder_075,backward_4,backward,4,cylinder_075,quadratic,0.00020000000000000023,0.0002,1.0842021724855044e-15,1.0842021724855044e-15,4.484268573803593e-15,0.00019999998083917032,9.580414952570042e-08,4.624100616301696e-10,0.1370695953871312,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_4_cylinder_090,backward_4,backward,4,cylinder_090,quadratic,0.0002000000000000002,0.0002,9.486769009248164e-16,9.486769009248164e-16,3.354187384533666e-15,0.00019999993517997525,3.241001247217785e-07,2.2351741985060514e-10,0.14134956306827356,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_4_cylinder_105,backward_4,backward,4,cylinder_105,quadratic,0.00020000000000000015,0.00020000000000000006,4.06575814682064e-16,4.0657581468206416e-16,2.9457081674827857e-15,0.00020000000760956547,3.804782660807302e-08,3.6931671262840915e-10,0.1402571708669181,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_4_cylinder_120,backward_4,backward,4,cylinder_120,quadratic,0.00019999999999999998,0.00019999999999999993,2.710505431213762e-16,2.710505431213761e-16,2.4699704385506835e-15,0.00019999998021304164,9.893479170131927e-08,1.6763806402059211e-10,0.13600143542087076,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_4_cylinder_135,backward_4,backward,4,cylinder_135,quadratic,0.00020000000000000015,0.0002,6.776263578034403e-16,6.776263578034403e-16,2.0579016113984412e-15,0.00019999997811226747,1.0943866337242625e-07,1.1175870992530257e-10,0.13366076080732095,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_4_cylinder_150,backward_4,backward,4,cylinder_150,quadratic,0.00020000000000000015,0.00019999999999999998,8.131516293641284e-16,8.131516293641283e-16,2.052653432780542e-15,0.0001999999802130417,9.893479224342028e-08,1.6763806402059211e-10,0.13600143542087081,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_4_cylinder_165,backward_4,backward,4,cylinder_165,quadratic,0.0002000000000000001,0.00019999999999999996,6.776263578034405e-16,6.776263578034403e-16,2.48323306781904e-15,0.0002000000076095655,3.804782701464884e-08,3.693167160978561e-10,0.14025717086691802,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
backward_4_twist,backward_4,backward,4,twist,quadratic,0.0002800000000000001,0.00028,3.872150616019659e-16,5.421010862427522e-16,2.822708662424095e-15,0.00027999998468909617,5.468179968536144e-08,4.470348362317633e-10,0.07673330437300363,7cd9731b172b874d45f5c508c52b1162b01e693608e5a2bc290110c4abbdd14a
